generation,phase,best_fitness,mean_fitness,best_iou,hold_score,stability_score,stabilized_success,first_reach_step,hold_length,run_status,benchmark_target_best_stabilized,benchmark_target_best_mean_final_iou,mini_transfer_mean_best_iou,mini_transfer_mean_final_iou,mini_transfer_success_rate,mini_transfer_variance,mini_transfer_score,champion_score,champion_source,target_coverage_best,target_coverage_mean,area_ratio_mean,bar_coverage_best,trunk_coverage_best,top_bar_score,trunk_coverage_score,coverage_penalty,sparse_collapse_penalty,empty_collapse_penalty,collapse_gate,sparse_population_share,sparse_collapse_flag,top_bar_alignment_score,trunk_alignment_score,junction_score,off_axis_penalty,side_clutter_penalty,bar_endpoint_clutter,early_sparse_penalty,late_t_penalty,late_regression_flag,late_structure_penalty,pseudo_t_penalty
28,phase_cross,0.16121954261660426,-0.6922638715435699,0.38961038961038963,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5357142857142857,0.4203869047619047,1.1276041666666667,0.0,0.0,0.0,0.0,0.017142857142857213,0.05785714285714285,0.0,1.0,0.5833333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,phase_cross,0.22553650093043393,-0.7837993206874371,0.38461538461538464,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.41889880952380953,1.1082589285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,phase_cross,0.3247541339884574,-0.6254286544612356,0.4222222222222222,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6785714285714286,0.4538690476190476,1.2057291666666667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5208333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,phase_cross,0.32191794636333565,-0.7164212664387118,0.4025974025974026,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5535714285714286,0.3913690476190476,1.0078125,0.0,0.0,0.0,0.0,0.0,0.04178571428571424,0.0,1.0,0.6458333333333334,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,phase_cross,0.39678990542830467,-0.5752842621957113,0.42168674698795183,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.4445684523809524,1.1328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,phase_cross,0.27375453821608503,-0.5966989902395051,0.38636363636363635,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.4304315476190476,1.0673363095238095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,phase_cross,0.4029352160001495,-0.5815699008205978,0.4268292682926829,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.4412202380952381,1.1004464285714286,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,phase_cross,0.3401022804754964,-0.5847594916782296,0.4,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.6071428571428571,0.4211309523809524,1.0974702380952381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.75,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,phase_cross,0.33555298290192664,-0.7789936051605962,0.39759036144578314,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.5892857142857143,0.4103422619047619,1.1506696428571428,0.0,0.0,0.0,0.0,0.0,0.00964285714285711,0.0,1.0,0.6041666666666666,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,phase_cross,0.441964981232268,-0.5009311610128898,0.4375,0.0,0.0,False,,,training,0.0,0.0,,,,,,,,0.625,0.4832589285714286,1.2473958333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5208333333333334,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
